PC1,PC2
37.4992,-4.26305
72.6013,-2.57053
57.5215,-0.463233
64.0898,-1.03936
37.4992,-4.26305
43.6994,-3.51746
62.1396,1.47064
26.4915,-11.4236
21.9681,-8.57875
103.348,13.823
67.6119,4.068
103.348,13.823
62.2503,1.45133
32.2228,-4.62824
153.627,6.06274
156.159,7.71197
109.404,2.56189
59.624,-0.231205
31.4021,-2.75206
59.8721,-0.738044
67.2241,-7.70166
75.7435,0.201216
40.073,-2.77602
68.0111,7.76825
46.0016,-8.70265
27.0105,-7.40417
13.9297,-7.59204
40.073,-2.77602
39.2634,-5.74111
19.8485,-8.76618
84.2922,7.9858
43.6086,-10.8453
112.932,19.3122
92.0783,-7.1991
52.7962,0.883179
20.9679,-6.41721
17.6339,-6.427
34.4378,-7.32849
22.1273,-6.22811
87.8062,12.0933
87.8062,12.0933
50.6495,-4.66276
18.0555,-9.72731
26.8196,-7.45393
14.1356,-7.9485
65.9586,7.32554
115.732,15.6507
40.7391,-4.39851
14.9709,-7.24938
95.6982,16.9833
25.2761,-3.84283
18.725,-8.43746
17.2079,-7.46745
122.874,11.633
80.5669,-5.85743
51.9536,-9.95947
13.3521,-9.17128
120.134,-4.16955
58.131,-1.88427
48.1858,1.09978
56.8249,-3.84212
113.276,16.2729
38.7443,-4.64398
56.8498,1.17093
14.1975,-8.47001
14.1975,-8.47001
42.2105,-2.65566
18.3161,-7.75332
71.5778,-5.55759
22.7843,-8.18699
32.1195,-9.36532
97.4434,12.6625
95.8461,11.3603
46.0164,-1.47115
88.6618,0.232997
44.7608,-1.43134
44.7608,-1.43134
34.7451,-8.04074
80.9661,10.5854
121.883,13.9973
17.192,-4.86908
71.6581,-0.354364
76.9193,2.61736
54.8616,-1.66716
64.8409,0.337582
45.4765,-7.58946
135.983,23.7234
34.1671,-4.18808
129.716,10.8202
27.1465,-5.31863
145.92,11.3051
135.983,23.7234
132.87,23.396
34.1671,-4.18808
93.8473,-6.03013
107.003,15.4111
26.4731,-6.57411
23.8599,-2.84569
13.3556,-8.83155
39.0246,-5.26569
52.7315,0.369114
25.5566,-7.02162
39.0246,-5.26569
66.9211,5.41186
37.6313,0.382998
66.9211,5.41186
72.3616,2.99446
66.6391,3.85165
82.7854,6.37206
156.683,18.944
50.0285,-0.675746
107.098,20.187
110.775,19.2583
52.274,-8.5897
50.0285,-0.675746
64.7204,2.57925
43.3115,-2.88721
30.7622,-3.84818
59.3732,-0.0823246
92.1791,7.51919
88.7352,15.2837
59.3732,-0.0823246
15.4788,-6.10066
37.6047,-4.61981
104.216,12.1069
94.8056,3.72038
14.8612,-7.60872
14.854,-7.58017
18.5323,-5.96159
21.8315,-5.54282
136.848,17.0373
100.54,12.6639
100.54,12.6639
31.6612,-10.676
33.5111,-7.70392
66.2762,1.84154
54.2035,2.10562
48.346,-1.66028
105.325,16.9628
108.71,16.694
66.2762,1.84154
54.2035,2.10562
69.715,-6.3025
21.9232,-3.31788
69.715,-6.3025
143.99,18.1045
96.5697,9.90458
87.8599,14.7139
34.1007,-6.49806
46.2264,-2.20444
14.3103,-8.56771
76.6136,-6.85118
102.608,8.29611
102.608,8.29611
132.063,15.4002
130.837,15.7102
132.063,15.4002
130.837,15.7102
26.488,-8.82357
88.222,9.07618
23.2571,-6.55957
23.7494,-7.58123
36.5219,-9.58292
126.509,8.42151
126.206,9.12082
96.5738,14.6224
102.42,13.7092
46.6411,-5.13961
46.9619,-1.16363
65.8677,2.91959
11.0958,-8.53571
21.0828,-6.5504
21.0828,-6.5504
49.0348,-11.0421
37.2845,-1.31875
53.8072,-4.15635
37.2845,-1.31875
40.5779,-1.62607
23.2195,-6.41008
44.8959,-1.52959
44.8959,-1.52959
112.403,13.1513
46.4242,-4.71677
66.5015,6.5246
62.8165,7.48616
89.8649,2.54299
69.2912,5.07814
29.5161,-6.00391
140.981,29.8097
142.49,28.863
127.748,20.3353
54.3913,-5.47553
125.265,23.6484
30.7864,-3.93073
30.7864,-3.93073
121.963,16.2779
58.4721,-0.166745
31.7724,-9.25563
93.6989,13.4191
35.2096,-6.77576
27.8892,-7.60836
149.826,14.6732
52.9349,-2.17452
43.533,-5.48642
41.0821,-4.86774
32.122,-7.93133
32.122,-7.93133
122.518,15.0492
96.8078,11.6373
22.8422,-8.76393
22.3884,-7.90874
63.6654,5.2342
18.5347,-8.89194
71.6604,-5.46822
43.8909,-1.63101
123.684,14.6764
52.5108,-1.78354
44.1093,-2.03526
46.6424,-0.404068
144.514,24.2961
63.7927,-4.71017
74.5773,5.39978
13.1836,-8.24696
31.2238,-5.11988
58.604,-0.649618
70.0901,-6.85071
86.3724,0.638993
26.8654,-7.60327
70.0901,-6.85071
40.2215,-3.28197
107.492,14.398
51.9874,-0.294748
62.2081,-1.29489
40.2215,-3.28197
39.2078,-0.794691
42.0276,-4.54507
42.0276,-4.54507
43.2818,-4.95761
42.0276,-4.54507
39.2078,-0.794691
62.1788,8.62412
27.4082,-7.0037
112.82,9.85155
28.6554,-9.93574
28.6554,-9.93574
25.8136,-4.99837
54.8603,-1.66007
74.1686,8.66959
41.6906,-1.54994
25.8136,-4.99837
42.1982,-8.09712
38.9676,-7.62335
24.1839,-6.90557
85.4661,15.1384
38.9676,-7.62335
119.068,20.3176
16.2677,-8.17161
58.317,2.93724
46.9761,1.33592
37.8956,-8.21639
49.8549,-5.17001
68.7034,6.42267
38.2874,-3.77578
55.0481,-7.06727
30.0037,-5.57338
14.1401,-11.2752
67.338,-5.50775
42.0637,-7.94835
29.7776,-3.98999
25.8036,-5.66057
67.7437,-6.56526
25.8036,-5.66057
68.8747,0.378749
41.09,-2.69326
98.5929,5.09929
67.7437,-6.56526
29.7776,-3.98999
25.8036,-5.66057
17.0162,-10.7337
49.8719,-0.764143
22.4759,-7.78812
13.4155,-9.01842
55.6277,1.4991
49.8719,-0.764143
78.6374,-6.7001
78.6374,-6.7001
56.2327,-10.5357
60.6716,-10.0949
54.4942,-6.2046
104.36,1.42605
54.4942,-6.2046
21.6101,-8.43453
53.1325,-5.77881
18.9429,-6.65631
57.7641,-4.23245
29.6107,-4.16545
76.0333,-3.37919
31.9529,-4.03195
33.0054,-1.53702
35.6877,-2.61014
49.6839,-7.47073
19.0131,-9.86365
32.3731,-7.69375
23.5756,-4.77469
90.4103,13.7565
27.9392,-5.19564
55.1433,5.00569
17.6453,-9.01835
15.4818,-9.04803
