PointID,ClusterID
0,5
1,5
2,5
3,5
4,5
5,13
6,13
7,13
8,13
9,13
10,0
11,0
12,0
13,0
14,1
15,1
16,1
17,1
18,1
19,1
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,1
28,1
29,0
30,1
31,0
32,0
33,0
34,1
35,1
36,0
37,1
38,1
39,1
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,1
48,1
49,1
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,2
58,2
59,2
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,0
68,0
69,0
70,0
71,0
72,1
73,1
74,1
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,1
117,2
118,2
119,2
120,2
121,2
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,3
131,3
132,3
133,3
134,3
135,3
136,0
137,0
138,0
139,0
140,0
141,1
142,1
143,1
144,1
145,1
146,2
147,2
148,2
149,2
150,2
151,4
152,4
153,4
154,4
155,4
156,4
157,3
158,3
159,3
160,3
161,3
162,3
163,0
164,0
165,0
166,0
167,0
168,1
169,1
170,1
171,1
172,2
173,2
174,2
175,2
176,2
177,2
178,4
179,4
180,4
181,4
182,4
183,4
184,3
185,3
186,3
187,3
188,3
189,0
190,0
191,0
192,0
193,0
194,1
195,1
196,1
197,1
198,1
199,1
200,2
201,2
202,2
203,2
204,4
205,4
206,4
207,4
208,4
209,3
210,3
211,3
212,3
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,10
231,2
232,2
233,2
234,2
235,4
236,4
237,4
238,4
239,3
240,3
241,3
242,3
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,2
258,2
259,2
260,2
261,4
262,4
263,4
264,4
265,3
266,3
267,3
268,0
269,2
270,2
271,2
272,2
273,4
274,4
275,4
276,3
277,3
278,3
279,3
280,0
281,2
282,2
283,2
284,4
285,4
286,4
287,3
288,3
289,3
290,3
291,2
292,2
293,2
294,4
295,4
296,4
297,3
298,3
299,3
300,0
301,2
302,2
303,2
304,4
305,4
306,3
307,3
308,0
309,2
310,2
311,4
312,4
313,4
314,3
315,3
316,0
317,13
318,2
319,2
320,2
321,4
322,4
323,3
324,3
325,3
326,0
327,2
328,2
329,4
330,4
331,3
332,3
333,10
334,10
335,10
336,10
337,10
338,5
339,5
340,2
341,2
342,2
343,4
344,4
345,3
346,3
347,3
348,10
349,10
350,5
351,5
352,5
353,5
354,2
355,2
356,2
357,4
358,4
359,3
360,3
361,10
362,5
363,5
364,2
365,2
366,4
367,4
368,3
369,3
370,10
371,10
372,10
373,5
374,2
375,2
376,4
377,4
378,3
379,3
380,10
381,10
382,5
383,2
384,2
385,2
386,4
387,4
388,3
389,3
390,10
391,10
392,10
393,5
394,5
395,5
396,2
397,2
398,4
399,4
400,3
401,3
402,10
403,10
404,10
405,5
406,5
407,5
408,2
409,2
410,4
411,4
412,4
413,3
414,3
415,10
416,10
417,10
418,5
419,5
420,2
421,4
422,4
423,3
424,3
425,10
426,10
427,10
428,5
429,5
430,5
431,2
432,2
433,4
434,4
435,3
436,10
437,10
438,10
439,5
440,5
441,5
442,2
443,2
444,4
445,4
446,3
447,3
448,3
449,10
450,10
451,10
452,5
453,5
454,2
455,4
456,4
457,3
458,3
459,10
460,10
461,10
462,5
463,5
464,2
465,4
466,3
467,3
468,10
469,10
470,10
471,10
472,5
473,5
474,5
475,5
476,2
477,2
478,4
479,3
480,3
481,10
482,10
483,10
484,5
485,5
486,2
487,4
488,3
489,3
490,10
491,10
492,10
493,10
494,5
495,5
496,5
497,5
498,2
499,2
500,4
501,3
502,3
503,10
504,10
505,10
506,10
507,10
508,10
509,5
510,5
511,5
512,2
513,2
514,4
515,3
516,3
517,10
518,10
519,10
520,10
521,10
522,10
523,5
524,5
525,5
526,5
527,2
528,2
529,4
530,3
531,3
532,10
533,10
534,10
535,10
536,10
537,10
538,10
539,5
540,5
541,5
542,5
543,5
544,5
545,5
546,2
547,3
548,3
549,4
550,4
551,3
552,3
553,3
554,2
555,4
556,3
557,3
558,3
559,2
560,2
561,4
562,4
563,3
