PointID,ClusterID
0,1
1,1
2,1
3,3
4,1
5,1
6,1
7,1
8,1
9,0
10,1
11,0
12,1
13,3
14,0
15,0
16,0
17,3
18,1
19,3
20,0
21,0
22,3
23,1
24,1
25,1
26,1
27,3
28,1
29,1
30,1
31,1
32,0
33,0
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,1
42,3
43,1
44,1
45,2
46,0
47,3
48,1
49,0
50,1
51,1
52,1
53,0
54,0
55,1
56,3
57,0
58,1
59,1
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,3
69,1
70,1
71,0
72,0
73,1
74,0
75,3
76,3
77,1
78,1
79,0
80,1
81,3
82,0
83,3
84,2
85,1
86,3
87,1
88,0
89,1
90,0
91,3
92,3
93,1
94,1
95,2
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,3
107,1
108,0
109,0
110,1
111,0
112,0
113,3
114,1
115,3
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,0
125,0
126,1
127,1
128,1
129,1
130,0
131,2
132,2
133,1
134,1
135,1
136,1
137,1
138,0
139,0
140,1
141,1
142,2
143,1
144,2
145,0
146,1
147,0
148,1
149,1
150,2
151,3
152,0
153,0
154,0
155,0
156,0
157,0
158,1
159,1
160,1
161,1
162,1
163,0
164,0
165,0
166,0
167,1
168,1
169,3
170,1
171,1
172,1
173,2
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,0
186,0
187,1
188,0
189,0
190,0
191,1
192,0
193,1
194,1
195,0
196,1
197,3
198,2
199,1
200,3
201,0
202,1
203,1
204,1
205,3
206,3
207,0
208,0
209,3
210,3
211,1
212,3
213,0
214,1
215,0
216,1
217,1
218,1
219,0
220,0
221,0
222,1
223,1
224,1
225,0
226,3
227,1
228,0
229,1
230,2
231,1
232,0
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,3
241,3
242,0
243,3
244,3
245,1
246,1
247,1
248,1
249,1
250,3
251,1
252,3
253,1
254,1
255,0
256,3
257,1
258,3
259,3
260,1
261,1
262,1
263,0
264,3
265,3
266,1
267,2
268,1
269,3
270,0
271,3
272,3
273,1
274,0
275,0
276,1
277,3
278,3
279,3
280,3
281,3
282,1
283,3
284,0
285,0
286,3
287,0
288,1
289,0
290,1
291,3
292,3
293,1
294,3
295,3
296,0
297,1
298,1
299,1
300,1
301,3
302,1
303,1
304,0
305,3
306,1
307,3
308,3
309,1
310,3
311,0
312,0
313,0
314,0
315,2
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,0
324,0
325,0
326,3
327,3
328,3
329,3
330,3
331,3
332,0
333,1
334,1
335,3
336,2
337,0
338,3
339,3
340,3
341,3
342,3
343,3
344,3
345,0
346,2
347,3
348,3
349,1
350,3
351,1
352,1
353,3
354,2
355,2
356,3
357,3
358,3
359,3
360,0
361,0
362,3
363,3
364,3
365,3
366,3
367,3
368,3
369,3
370,1
371,3
372,3
373,0
374,3
375,3
376,3
377,3
378,3
379,0
380,3
381,3
382,3
383,3
384,0
385,1
386,1
387,1
388,0
389,3
390,2
391,3
392,3
393,0
394,3
395,3
396,0
397,3
398,3
399,1
400,0
401,2
402,3
403,3
404,1
405,3
406,3
407,3
408,3
409,3
410,0
411,0
412,1
413,3
414,0
415,0
416,3
417,0
418,3
419,1
420,0
421,2
422,1
423,3
424,1
425,2
426,2
427,1
428,1
429,3
430,3
431,0
432,3
433,3
434,3
435,3
436,0
437,3
438,3
439,1
440,3
441,3
442,3
443,3
444,2
445,1
446,3
447,3
448,1
449,3
450,3
451,3
452,1
453,3
454,2
455,3
456,1
457,0
458,3
459,3
460,3
461,1
462,3
463,0
464,3
465,3
466,3
467,2
468,3
469,1
470,3
471,3
472,3
473,3
474,3
475,1
476,3
477,3
478,1
479,1
480,3
481,3
482,3
483,3
484,3
485,1
486,1
487,1
488,3
489,3
490,0
491,2
492,2
493,0
494,0
495,3
496,1
497,0
498,3
499,0
500,1
501,3
502,3
503,3
504,3
505,3
506,3
507,3
508,0
509,3
510,3
511,0
512,3
513,3
514,3
515,0
516,3
517,3
518,3
519,0
520,3
521,1
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,1
530,3
531,3
532,3
533,2
534,3
535,3
536,1
537,1
538,3
539,3
540,0
541,3
542,1
543,3
544,3
545,0
546,1
547,3
548,3
549,3
550,1
551,3
552,3
553,2
554,3
555,3
556,3
557,3
558,3
559,3
560,3
561,0
562,0
563,0
564,3
565,3
566,1
567,1
568,3
569,2
570,3
571,2
572,3
573,3
574,3
575,3
576,1
577,0
578,0
579,3
580,3
581,3
582,3
583,3
584,0
585,1
586,3
587,0
588,2
589,3
590,0
591,0
592,0
593,3
594,1
595,0
596,3
597,3
598,1
599,3
600,1
601,3
602,1
603,3
604,0
605,1
606,3
607,0
608,3
609,2
610,0
611,3
612,1
613,3
614,3
615,0
616,0
617,3
618,3
619,3
620,0
621,0
622,1
623,2
624,0
625,0
626,1
627,1
628,1
629,0
630,1
631,3
632,1
633,0
634,0
635,1
636,0
637,0
638,1
639,3
640,3
641,0
642,3
643,0
644,3
645,1
646,1
647,1
648,2
649,0
650,3
651,0
652,3
653,3
654,3
655,0
656,3
657,3
658,1
659,1
660,1
661,1
662,1
663,3
664,3
665,0
666,3
667,3
668,3
669,3
670,0
671,1
672,0
673,1
674,3
675,3
676,3
677,1
678,0
679,3
680,3
681,1
682,0
683,1
684,0
685,1
686,1
687,1
688,1
689,3
690,1
691,1
692,3
693,0
694,0
695,2
696,1
697,1
698,0
699,3
700,0
701,1
702,1
703,0
704,1
705,1
706,1
707,1
708,2
709,3
710,0
711,0
712,1
713,1
714,0
715,1
716,1
717,1
718,1
719,1
720,1
721,0
722,1
723,0
724,1
725,1
726,1
727,1
728,1
729,2
730,3
731,1
732,1
733,0
734,1
735,1
736,1
737,1
738,0
739,1
740,1
741,0
742,1
743,0
744,0
745,1
746,0
747,0
748,1
749,1
750,1
751,1
752,0
753,1
754,3
755,1
756,1
757,1
758,1
759,0
760,0
761,1
762,1
763,1
764,1
765,1
766,0
767,0
768,0
769,1
770,0
771,0
772,0
773,3
774,3
775,1
776,1
777,1
778,1
779,0
780,1
781,1
782,0
783,1
784,1
785,3
786,3
787,0
788,0
789,0
790,0
791,0
792,1
793,1
794,3
795,3
796,0
797,2
798,3
799,3
800,0
801,1
802,2
803,1
804,1
805,2
806,2
807,2
808,1
809,1
810,1
