PointID,ClusterID
0,1
1,1
2,1
3,2
4,1
5,1
6,1
7,1
8,1
9,0
10,1
11,0
12,1
13,2
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,2
23,1
24,1
25,1
26,1
27,2
28,1
29,1
30,1
31,1
32,0
33,0
34,1
35,1
36,1
37,2
38,1
39,0
40,0
41,0
42,2
43,1
44,1
45,1
46,0
47,2
48,1
49,0
50,2
51,1
52,1
53,0
54,0
55,1
56,2
57,0
58,1
59,1
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,2
69,1
70,1
71,0
72,0
73,1
74,0
75,2
76,2
77,1
78,1
79,0
80,1
81,0
82,0
83,0
84,1
85,1
86,0
87,1
88,0
89,1
90,0
91,0
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,0
107,1
108,0
109,0
110,1
111,0
112,0
113,2
114,1
115,2
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,0
125,0
126,1
127,1
128,1
129,1
130,0
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,0
139,0
140,1
141,1
142,1
143,1
144,1
145,0
146,1
147,0
148,1
149,1
150,2
151,0
152,1
153,1
154,0
155,0
156,0
157,0
158,1
159,1
160,1
161,1
162,1
163,0
164,0
165,0
166,1
167,1
168,1
169,0
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,0
186,0
187,1
188,0
189,0
190,0
191,1
192,0
193,1
194,1
195,0
196,1
197,2
198,1
199,1
200,2
201,0
202,1
203,1
204,1
205,2
206,2
207,0
208,0
209,2
210,2
211,1
212,2
213,0
214,1
215,0
216,1
217,1
218,1
219,0
220,0
221,0
222,1
223,1
224,1
225,0
226,0
227,1
228,0
229,1
230,1
231,1
232,0
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,0
241,2
242,0
243,2
244,2
245,1
246,1
247,1
248,1
249,1
250,2
251,1
252,2
253,0
254,1
255,0
256,2
257,1
258,0
259,2
260,1
261,1
262,1
263,0
264,2
265,2
266,1
267,2
268,1
269,2
270,1
271,2
272,2
273,1
274,0
275,1
276,1
277,2
278,2
279,2
280,2
281,2
282,1
283,2
284,0
285,0
286,2
287,0
288,1
289,0
290,1
291,2
292,2
293,1
294,2
295,2
296,0
297,1
298,1
299,1
300,1
301,2
302,1
303,1
304,0
305,2
306,1
307,2
308,2
309,1
310,2
311,0
312,0
313,0
314,0
315,1
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,0
324,0
325,0
326,2
327,2
328,2
329,2
330,2
331,2
332,0
333,1
334,1
335,2
336,2
337,0
338,2
339,2
340,2
341,2
342,2
343,2
344,2
345,1
346,1
347,2
348,2
349,1
350,2
351,1
352,1
353,2
354,0
355,1
356,2
357,2
358,2
359,2
360,0
361,0
362,2
363,2
364,2
365,2
366,2
367,2
368,0
369,2
370,1
371,2
372,2
373,0
374,2
375,2
376,2
377,2
378,2
379,0
380,2
381,2
382,2
383,2
384,0
385,1
386,0
387,1
388,0
389,2
390,1
391,2
392,2
393,0
394,2
395,2
396,0
397,2
398,2
399,1
400,0
401,1
402,2
403,2
404,1
405,2
406,2
407,2
408,2
409,2
410,0
411,0
412,1
413,2
414,0
415,0
416,2
417,0
418,2
419,1
420,0
421,1
422,1
423,2
424,1
425,1
426,1
427,1
428,2
429,2
430,2
431,0
432,2
433,2
434,2
435,2
436,0
437,2
438,2
439,1
440,2
441,2
442,2
443,2
444,1
445,1
446,2
447,2
448,1
449,2
450,2
451,2
452,1
453,2
454,1
455,2
456,2
457,0
458,2
459,2
460,2
461,1
462,2
463,0
464,2
465,2
466,2
467,2
468,2
469,1
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,2
479,1
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,2
488,2
489,2
490,0
491,2
492,2
493,0
494,0
495,2
496,1
497,0
498,2
499,0
500,1
501,0
502,0
503,2
504,2
505,2
506,2
507,2
508,0
509,2
510,2
511,0
512,2
513,2
514,2
515,0
516,2
517,2
518,2
519,0
520,2
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,2
530,2
531,2
532,2
533,2
534,2
535,2
536,2
537,1
538,2
539,2
540,0
541,2
542,1
543,2
544,2
545,0
546,1
547,2
548,2
549,2
550,1
551,2
552,2
553,1
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,0
562,0
563,0
564,2
565,2
566,1
567,1
568,2
569,1
570,2
571,1
572,2
573,2
574,2
575,2
576,2
577,0
578,0
579,2
580,2
581,2
582,2
583,2
584,0
585,1
586,2
587,0
588,1
589,2
590,0
591,0
592,0
593,2
594,1
595,0
596,2
597,2
598,1
599,2
600,1
601,2
602,1
603,2
604,0
605,1
606,2
607,0
608,0
609,1
610,0
611,2
612,1
613,2
614,0
615,0
616,0
617,2
618,2
619,2
620,0
621,0
622,2
623,1
624,0
625,0
626,1
627,1
628,1
629,0
630,1
631,2
632,1
633,0
634,0
635,1
636,0
637,0
638,1
639,2
640,2
641,0
642,2
643,0
644,2
645,1
646,1
647,1
648,2
649,0
650,2
651,0
652,2
653,2
654,2
655,0
656,2
657,2
658,1
659,1
660,1
661,1
662,1
663,2
664,2
665,0
666,2
667,2
668,2
669,2
670,0
671,1
672,0
673,1
674,2
675,2
676,2
677,1
678,0
679,2
680,2
681,1
682,0
683,1
684,0
685,1
686,1
687,0
688,1
689,2
690,1
691,0
692,0
693,0
694,0
695,1
696,1
697,1
698,0
699,2
700,0
701,1
702,1
703,0
704,1
705,1
706,1
707,1
708,1
709,2
710,0
711,0
712,1
713,1
714,0
715,1
716,1
717,1
718,1
719,1
720,1
721,0
722,1
723,0
724,1
725,1
726,1
727,1
728,1
729,1
730,0
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,0
739,1
740,1
741,0
742,1
743,0
744,0
745,1
746,0
747,0
748,1
749,1
750,1
751,1
752,0
753,1
754,0
755,1
756,1
757,1
758,1
759,0
760,0
761,1
762,1
763,1
764,1
765,1
766,0
767,0
768,1
769,1
770,1
771,0
772,0
773,2
774,2
775,1
776,1
777,1
778,2
779,1
780,1
781,1
782,0
783,1
784,1
785,2
786,2
787,0
788,0
789,0
790,0
791,0
792,1
793,1
794,2
795,2
796,0
797,2
798,2
799,2
800,0
801,1
802,1
803,1
804,1
805,2
806,2
807,2
808,1
809,1
810,1
